Dish_ID,Dish_Name,Meal_Type,Calories,Protein,Carbs,Fat,Fiber,Diet_Type,Tags
D001,Oats Upma,Breakfast,201,17.1,43.1,22.5,1.8,Veg,"Keto Friendly, Fiber Rich"
D002,Poha,Breakfast,156,21.3,19.8,15.1,9.8,Veg,"Low Calorie, High Protein"
D003,Idli Sambhar,Breakfast,490,5.7,37.6,18.9,1.4,Veg,"Balanced, Keto Friendly"
D004,Smoothie Bowl,Breakfast,364,15.6,41,16.1,6.6,Veg,"Balanced, Keto Friendly"
D005,Sprouts Salad,Breakfast,426,29.3,34.7,2.2,7.4,Veg,"High Protein, Fiber Rich"
D006,Boiled Eggs,Breakfast,499,23.8,13,14.8,7.6,Non-Veg,"Keto Friendly, Low Calorie"
D007,Avocado Toast,Breakfast,273,16.1,16.7,17.8,5.9,Veg,"Keto Friendly, Fiber Rich"
D008,Vegetable Dalia,Breakfast,455,10.4,24.3,1.4,1.7,Veg,"Balanced, High Protein"
D009,Protein Pancake,Breakfast,304,7.9,49,20.7,2,Veg,"Low Calorie, Fiber Rich"
D010,Fruit Salad,Breakfast,125,11.8,21.9,12.1,2.3,Veg,"Keto Friendly, Low Calorie"
D011,Multigrain Paratha,Breakfast,119,27.2,20.9,22.9,1.6,Veg,"Keto Friendly, Balanced"
D012,Vegetable Omelette,Breakfast,348,27.2,31.5,6.1,2.2,Veg,"High Protein, Low Calorie"
D013,Banana Pancake,Breakfast,335,25.3,18.3,12.7,7.7,Veg,"Fiber Rich, Low Calorie"
D014,Chia Pudding,Breakfast,279,10.4,42.2,5.2,7.7,Veg,"Balanced, High Protein"
D015,Besan Chilla,Breakfast,119,17.3,22.5,13,9.2,Veg,"Low Calorie, Keto Friendly"
D016,Upma,Breakfast,182,21.6,28.7,20.8,2.3,Veg,"High Protein, Low Calorie"
D017,Stuffed Roti,Breakfast,271,10.5,38.2,7.4,4.7,Veg,"Fiber Rich, Keto Friendly"
D018,Egg Sandwich,Breakfast,169,7.7,48.3,3.6,4.3,Non-Veg,"Balanced, Fiber Rich"
D019,Cottage Cheese Toast,Breakfast,312,26.7,25.2,12.4,7.8,Veg,"Low Calorie, High Protein"
D020,Almond Milk Cereal,Breakfast,391,11.1,26.3,4.9,1.1,Veg,"Keto Friendly, High Protein"
D021,Paneer Tikka,Lunch,440,19.8,26.1,3.4,7.8,Veg,"Keto Friendly, Fiber Rich"
D022,Grilled Chicken Salad,Lunch,456,11.1,34.3,18.2,8.1,Non-Veg,"Keto Friendly, High Protein"
D023,Brown Rice & Dal,Lunch,226,29.7,33.1,15.1,3.4,Veg,"High Protein, Fiber Rich"
D024,Quinoa Bowl,Lunch,203,29.7,17.9,23.3,1.7,Veg,"Fiber Rich, Low Calorie"
D025,Mixed Veg Curry,Lunch,102,20.1,18.9,17.3,7.9,Veg,"Low Calorie, High Protein"
D026,Chicken Breast with Veggies,Lunch,394,18.7,36.5,1.6,2,Non-Veg,"High Protein, Fiber Rich"
D027,Rajma Chawal,Lunch,339,8.2,35.5,24.4,9,Veg,"High Protein, Balanced"
D028,Tofu Stir Fry,Lunch,307,8.5,24.3,23.6,6.3,Veg,"Keto Friendly, Low Calorie"
D029,Fish Curry with Rice,Lunch,401,12.9,23.4,19.6,3.6,Non-Veg,"Keto Friendly, Fiber Rich"
D030,Chickpea Salad,Lunch,469,30,47.5,19.6,4.5,Veg,"Keto Friendly, High Protein"
D031,Soya Biryani,Lunch,149,29.3,31.7,4.8,2.3,Veg,"Fiber Rich, Low Calorie"
D032,Egg Curry,Lunch,101,28.1,32.6,20.4,4.5,Non-Veg,"Fiber Rich, High Protein"
D033,Stuffed Paratha with Curd,Lunch,295,19.1,45,15.4,2.7,Veg,"High Protein, Balanced"
D034,Fish Tikka,Lunch,194,8.3,27.8,10.9,2.4,Non-Veg,"Balanced, Fiber Rich"
D035,Chole Rice,Lunch,211,7.7,48,23.9,9,Veg,"Keto Friendly, High Protein"
D036,Vegetable Biryani,Lunch,482,15.7,24,20.7,7.8,Veg,"Fiber Rich, Low Calorie"
